file_name,title,doc_type,publish_date,version_or_revision,source_url,clinical_scope,language,license_note,issuer,confidence,review_status
"Clinical management and infection prevention and control for mpox living guideline, May 2025.pdf","Clinical management and infection prevention and control for mpox living guideline, May 2025","guideline","2025-05","living guideline","TODO_ADD_SOURCE_URL","icu_core","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"Guideline for the prevention, diagnosis and treatment  of infertility.pdf","Guideline for the prevention, diagnosis and treatment of infertility","guideline","2025","unknown","TODO_ADD_SOURCE_URL","general_public_health","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"Guidelines on hand hygiene in community settings.pdf","Guidelines on hand hygiene in community settings","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_related","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"Malaria surveillance assessment toolkit.pdf","Malaria surveillance assessment toolkit","toolkit","2018-12","unknown","TODO_ADD_SOURCE_URL","general_public_health","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"Use of lower-sodium salt substitutes WHO guideline.pdf","Use of lower-sodium salt substitutes WHO guideline","guideline","2023-02","unknown","TODO_ADD_SOURCE_URL","general_public_health","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO consolidated guidelines on tuberculosis.pdf","WHO consolidated guidelines on tuberculosis","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_core","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guideline for non-surgical management of chronic primary low back pain in adults in primary and community care settings.pdf","WHO guideline for non-surgical management of chronic primary low back pain in adults in primary and community care settings","guideline","2023","unknown","TODO_ADD_SOURCE_URL","general_public_health","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guideline on  HIV service delivery.pdf","WHO guideline on HIV service delivery","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_core","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guideline on preventing early pregnancy and poor reproductive outcomes among adolescents in low- and middle-income countries.pdf","WHO guideline on preventing early pregnancy and poor reproductive outcomes among adolescents in low- and middle-income countries","guideline","2025","unknown","TODO_ADD_SOURCE_URL","general_public_health","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guidelines for clinical management of arboviral diseases dengue, chikungunya, Zika and yellow fever.pdf","WHO guidelines for clinical management of arboviral diseases dengue, chikungunya, Zika and yellow fever","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_core","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guidelines for the treatment of patients with cystic echinococcosis.pdf","WHO guidelines for the treatment of patients with cystic echinococcosis","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_related","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
"WHO guidelines on meningitis diagnosis,  treatment and care.pdf","WHO guidelines on meningitis diagnosis, treatment and care","guideline","2025","unknown","TODO_ADD_SOURCE_URL","icu_core","en","TODO_VERIFY_LICENSE","WHO","medium","auto_extracted"
